coral,tank,treat,pco2,temp,T0_T90,reef,species,fpco2,ftemp,colony,SA,den,pro,chla,sum_bw5,red_bw1,green_bw1,blue_bw1,sum_bw1,red_bw2,green_bw2,blue_bw2,sum_bw2,red_bw3,green_bw3,blue_bw3,sum_bw3,red_bw4,green_bw4,blue_bw4,sum_bw4,red_bw5,green_bw5,blue_bw5,rate,carb,lipid
CFSA3,400_31_1,405_31,405,31,T90,F,S,400,31,SA_F,10.181,2500753.012,0.51,56.64128,170.5,121.1,64.7,28.9,214.7,125.9,72.5,42,240.4,162.5,102.3,61.9,326.7,102.4,54.6,25.3,182.3,98.3,50.4,21.8,0.182,1.066264257,0.296366044
CFSA5,700_31_1,701_31,701,31,T90,F,S,700,31,SA_F,8.918,2940978.582,0.542,94.86976,142.2,166.1,109.3,36.9,312.3,133.2,80.4,39.2,252.8,82.7,44.8,17.5,145,75.4,43.8,26.9,146.1,74.8,41.2,26.2,1.692,0.726645718,0.166499315
CFSA6,700_28_1,673_28,673,28,T90,F,S,700,28,SA_F,9.068,2834583.15,0.655,53.66016,142.1,145.7,90.3,32.2,268.2,95.3,49.5,19.2,164,96.9,54.9,23.7,175.5,64.6,35,20.4,120,80.4,43,18.7,0.414,1.572581353,0.438758521
CFSA7,2800_31_1,3309_31,3309,31,T90,F,S,2800,31,SA_F,8.812,262132.6172,0.208,14.37952,196.9,152,90.7,40.9,283.6,132.4,77,56.3,265.7,99.3,57.4,40.3,197,105.9,60.3,47.7,213.9,99.8,52,45.1,-0.012,0.533037126,0.131249652
CFSA9,400_28,447_28,447,28,T0,F,S,T0,T0,SA_F,8.170666667,1312500,0.398,17.66752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.605160317,0.005592858
CFSB1,280_31_1,311_31,311,31,T90,F,S,280,31,SB_F,12.31,2719542.907,0.607,169.39776,93.2,121.4,67.3,22,210.7,66.2,34,14,114.2,73.8,38.6,18.9,131.3,70.7,39,21,130.7,50.6,27.4,15.2,0.732,0.910510653,0.482782542
CFSB10,400_31_1,405_31,405,31,T90,F,S,400,31,SB_F,11.296,2612683.33,0.336,108.19712,146.5,100.3,52.1,18.4,170.8,60.1,29.6,13.7,103.4,91.9,53.8,25.4,171.1,75,40.1,23.3,138.4,77.2,44.7,24.6,1.609,0.29464951,0.481506989
CFSB13,400_28_1,447_28,447,28,T90,F,S,400,28,SB_F,12.975,3897341.04,0.493,192.896,118.5,NA,NA,NA,NA,67.9,32.4,14.2,114.5,54.4,27.2,15.5,97.1,44.2,24.3,15.1,83.6,61.8,34.7,22,1.139,0.606618176,0.323750181
CFSB2,280_28_1,288_28,288,28,T90,F,S,280,28,SB_F,10.805,4084531.375,0.435,163.26016,91.1,110.7,57.9,10.8,179.4,55.8,28.3,11.1,95.2,67.6,34.9,17.8,120.3,42.4,24.9,16,83.3,44.3,27.3,19.5,1.122,1.444916782,0.285145162
CFSB3,2800_28_1,3285_28,3285,28,T90,F,S,2800,28,SB_F,9.702,792716.0282,0.245,35.77344,117.4,NA,NA,NA,NA,103,54.3,24.3,181.6,55.3,27.5,16.6,99.4,63.8,36.9,25.5,126.2,61.9,33.5,22,-0.271,0.493512154,0.197784221
CFSB5,700_31_1,701_31,701,31,T90,F,S,700,31,SB_F,11.185,2867683.872,0.62,113.63328,118.6,148.5,89.2,28.8,266.5,59.3,29.1,9.6,98,67.9,39,20.1,127,73,39.9,20.8,133.7,66.9,34.5,17.2,1.359,1.429475617,0.181478755
CFSB6,700_28_1,673_28,673,28,T90,F,S,700,28,SB_F,12.153,2322325.837,0.309,75.75552,109,143.7,87.6,40.2,271.5,83,44.4,21.3,148.7,68.5,37.5,18.8,124.8,65,35.7,21.6,122.3,60.7,31.9,16.4,1.289,2.974550933,0.11862404
CFSB6,700_28_1,673_28,673,28,T90,F,S,700,28,SB_F,12.153,2322325.837,0.309,75.75552,109,143.7,87.6,40.2,271.5,83,44.4,21.3,148.7,68.5,37.5,18.8,124.8,65,35.7,21.6,122.3,60.7,31.9,16.4,1.289,1.017685861,0.11862404
CFSB7,2800_31_1,3309_31,3309,31,T90,F,S,2800,31,SB_F,11.199,303351.39,0.208,36.47488,144.8,131.8,73.6,34.7,240.1,78,43.4,29,150.4,57.8,31.4,22,111.2,66.2,34.9,27.8,128.9,75.8,38.8,30.2,-0.109,0.488145103,0.039124817
CFSB9,400_28,447_28,447,28,T0,F,S,T0,T0,SB_F,11.544,1426130.457,0.525,59.44704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.034981647,0.017036364
CFSC11,400_28,447_28,447,28,T0,F,S,T0,T0,SC_F,9.465666667,2419762.651,0.669,10.69696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.261600217,0.165972467
CFSC14,400_28_2,447_28,447,28,T90,F,S,400,28,SC_F,10.229,5088373.306,1.181,226.2144,138.5,NA,NA,NA,NA,81.9,42.4,16.7,141,82.9,45,17.2,145.1,45.3,25.1,15.1,85.5,73.1,41.3,24.1,1.434,2.93814537,0.828035019
